ensembl_id	gene_name	gene_type	KO1	KO2	KO3	WT1	WT2	WT3
ENSMUSG00000103323.1	Gm21631	processed_pseudogene	1.42176824890245	0	0	0	0	0
ENSMUSG00000103341.1	1700051O22Rik	TEC	5.11198010675895	5.3941506016751	5.25166020787461	5.76066464788143	5.74202300233851	5.44436363289219
ENSMUSG00000103343.1	Gm37052	TEC	0.879367320561294	0	0	4.98491898143303	0	0
ENSMUSG00000103348.1	Gm37053	TEC	0.879367320561294	0	0	0	3.06545435071178	0
ENSMUSG00000103358.1	Gm37593	TEC	0.879367320561294	0	0	0.927500170444784	0	0
ENSMUSG00000103364.1	Gm38157	TEC	0.879367320561294	0	4.39067358277497	3.66967394404429	2.48724764333176	3.16619846775817
ENSMUSG00000103367.1	Gm38158	processed_pseudogene	4.01008438532858	0	0	4.02977242516836	3.59179587689057	5.89473062332296
ENSMUSG00000103373.1	Gm37238	TEC	0	0	0	0	5.09469717454571	0
ENSMUSG00000103380.1	Gm37756	antisense	6.74987193152637	6.35372026410998	8.45164747923616	6.64699098495796	7.05270133250565	6.11365481633467
ENSMUSG00000103382.1	Gm37755	TEC	7.15873145623906	0	0	0	0	0
ENSMUSG00000103396.1	Gm38305	processed_pseudogene	0	0	0	1.48746318376218	0	0
ENSMUSG00000103398.1	Gm38307	TEC	0	0	1.53728829139147	0	0	0
ENSMUSG00000103400.1	Gm15853	lincRNA	7.27277922235818	5.5653112553105	7.19515123497738	6.91842208561051	6.69037522394269	7.08447885491177
ENSMUSG00000103409.1	Lsmem2	lincRNA	0	0	0	0.927500170444784	3.47710205275747	0
ENSMUSG00000103432.1	6720464F23Rik	TEC	5.70635572786132	7.34487287467517	0	2.68074403413245	4.41082393168411	0
ENSMUSG00000103435.1	Gm36992	antisense	0	0	3.51899631983627	0	0	0
ENSMUSG00000103443.1	Gm37132	TEC	0	6.206265790346	0	0	0	0
ENSMUSG00000103445.1	Gm36948	TEC	0	0	0.964392848999641	3.56361330778345	0	0
ENSMUSG00000103459.1	Gm38096	lincRNA	1.42176824890245	0	0	0	0	0
ENSMUSG00000103467.1	Gm38245	TEC	0	0	0	0	5.01471640653208	0
ENSMUSG00000103472.1	Pcdhga7	protein_coding	0	0	0	6.43775808630302	1.50732725783959	0
ENSMUSG00000103473.1	Gm37696	antisense	1.81504464905875	0	0	0	0.942168732963459	0
ENSMUSG00000103481.1	1700016D08Rik	TEC	5.24568616397944	2.65471349638041	4.32371906711199	4.81040838009375	3.79699243961898	4.22698501172912
ENSMUSG00000103486.1	Gm10657	TEC	0	0	5.38899587280491	0	0.942168732963459	0
ENSMUSG00000103495.1	Gm37409	TEC	0	0	0	0	2.22825158030063	0
ENSMUSG00000103497.1	Gm37407	TEC	4.96460482777095	0	3.25718862068901	1.48746318376218	2.70674859756339	0
ENSMUSG00000103502.1	9330121J05Rik	antisense	0	0	6.30381468970736	0.927500170444784	0	0
ENSMUSG00000103506.1	Gm38376	TEC	0	0	0	2.20411252389077	0	0
ENSMUSG00000103507.1	Gm38375	TEC	0	0	0	0	5.09469717454571	0
ENSMUSG00000103509.1	Gm38372	TEC	5.55998920649949	0	0	0	0	0
ENSMUSG00000103520.1	1110025M09Rik	TEC	2.78177489822719	0	5.38899587280491	0	0	4.29370101984493
ENSMUSG00000103525.1	Gm37262	TEC	0	0	1.53728829139147	0	0	0
ENSMUSG00000103529.1	A730089K16Rik	TEC	6.09096924790691	0	8.34595331247257	7.82906528392172	6.11238046018847	1.47124905472511
ENSMUSG00000103531.1	2610300A13Rik	TEC	1.42176824890245	0	0	0	0	0
ENSMUSG00000103549.1	Gm17895	processed_pseudogene	0	0	1.53728829139147	0	0	0
ENSMUSG00000103553.1	Gm38218	TEC	1.42176824890245	3.16121368079483	0	0	1.50732725783959	0
ENSMUSG00000103561.1	Gm38069	TEC	0.879367320561294	0	1.53728829139147	0	0.942168732963459	0
ENSMUSG00000103563.1	8030445P17Rik	TEC	0	1.86734559122872	0	0	0	0
ENSMUSG00000103567.1	Pcdhga5	protein_coding	0	0	0	0	6.77777348869638	0
ENSMUSG00000103570.1	C630004M23Rik	TEC	6.27427516373521	6.94058847729898	5.88327312180888	5.58203896607352	6.67744605807403	7.093869705262
ENSMUSG00000103572.1	Gm37115	TEC	1.81504464905875	0	0	5.37812963866199	0	0
ENSMUSG00000103574.1	Gm37116	processed_pseudogene	0	0	0	0	3.69803926210645	2.18435544051416
ENSMUSG00000103585.1	Pcdhgb4	protein_coding	4.75630921334046	0	0	0	0	0
ENSMUSG00000103591.1	Gm38365	TEC	4.15310554044389	0	1.53728829139147	0.927500170444784	5.46944576176696	2.44136287689627
ENSMUSG00000103593.1	Gm37352	TEC	0	2.65471349638041	7.10830357855117	4.61184603269735	8.03210241797097	6.73431391671193
ENSMUSG00000103603.1	Gm37020	antisense	0	0	1.94625419978157	0	0	0
ENSMUSG00000103605.1	Gm38206	TEC	0	0	1.94625419978157	0	0	0
ENSMUSG00000103613.1	Gm34882	antisense	3.57463308758077	4.18712975116875	5.28723908422926	3.76846858261651	4.20998934867744	4.22698501172912
ENSMUSG00000103614.1	Gm37949	TEC	0	0	8.60754504066619	5.46906932776956	6.65123484036052	6.80462988429064
ENSMUSG00000103621.1	Gm38366	TEC	5.70635572786132	0	0	0	0	0
ENSMUSG00000103622.1	Gm38391	TEC	6.76108251588504	7.37970681628726	3.25718862068901	0.927500170444784	4.20998934867744	2.84883108412516
ENSMUSG00000103624.1	Gm3081	TEC	0	0	0	0	0	4.69023030420236
ENSMUSG00000103630.1	Gm37242	TEC	0	0	0	3.18868535126569	0	0
ENSMUSG00000103632.1	Gm38329	TEC	5.21340332420471	0	0	0	0	0
ENSMUSG00000103636.1	Gm38331	TEC	0	0	0	3.03840455726732	0.942168732963459	1.47124905472511
ENSMUSG00000103638.1	Gm38327	TEC	2.9479554522873	2.31409027716139	0	2.46202284672469	1.50732725783959	3.01622413724148
ENSMUSG00000103643.1	Gm37770	processed_pseudogene	0	2.31409027716139	0	0	0	0
ENSMUSG00000103646.1	Gm37706	TEC	7.3190256091035	0	0	6.11998460634035	5.13308400709385	0.915566168152554
ENSMUSG00000103649.1	Gm37768	antisense	0.879367320561294	0	0	0	3.79699243961898	0
ENSMUSG00000103651.1	Gm37206	TEC	6.19382855146041	0	8.21813967480715	7.39116482697908	7.83078740970958	8.11187721149031
ENSMUSG00000103653.1	Gstp-ps	processed_pseudogene	3.231998192876	4.18712975116875	4.01969078300301	5.06484792035152	3.69803926210645	3.3020399699418
ENSMUSG00000103657.1	Gm37204	TEC	3.09695597470166	4.91335246708533	0	0	0	0.915566168152554
ENSMUSG00000103658.1	Gm37201	processed_pseudogene	0.879367320561294	1.21679832847263	1.53728829139147	1.48746318376218	1.50732725783959	1.87142085216977
ENSMUSG00000103668.1	Gm38186	antisense	0	0	0	3.56361330778345	2.22825158030063	0.915566168152554
ENSMUSG00000103672.1	Gm37621	TEC	0	2.31409027716139	0	0	4.13631115763645	0
ENSMUSG00000103693.1	Gm37529	sense_intronic	0	2.31409027716139	0	0	1.50732725783959	2.44136287689627
ENSMUSG00000103696.1	Gm37531	TEC	0	0	7.32920152430039	0	0	0
ENSMUSG00000103697.1	Gm38020	TEC	1.42176824890245	0	0	5.43938849563964	0	0.915566168152554
